DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,59,0.242614115,0.06154423,0.069554015,0.055890813,0.052452393,0.025727319,0.026840197,0.04202783,0.012958343,0.010288928,0.009352425,0,0,0.002484901,0
1,60,0.445269359,0.223889117,0.2638428,0.286599836,0.387169223,0.446456922,0.50006259,0.504474,0.432099883,0.22989392,0.120351811,0.065796725,0.031586741,0.011554203,0.014745643
1,61,0.364240129,0.394317459,0.598118933,0.726477981,0.786203261,0.852446827,0.431850526,0.152372101,0.069370916,0.013838857,0.027188246,0.002255788,0.00265641,0,0.003007718
1,62,3.344833318,1.618732304,1.875157148,2.085625548,1.430178838,1.150602698,0.382230965,0.253387396,0.076257034,0.015984597,0.007459565,0.007738101,0.004034534,0,0.009137975
1,63,0.567386637,0.491446955,0.625655923,1.052047399,1.46937769,1.795337896,1.357890657,1.0021663,0.346688961,0.155314244,0.04410491,0.023084671,0.010747024,0,0.03143578
1,64,0.02207861,0.065627626,0.123928424,0.090172634,0.077613306,0.102620278,0.103590192,0.117315922,0.066671519,0.062865439,0.027497683,0.028454345,0.010784121,0.009377551,0.010183339
1,65,0.04021549,0.046400608,0.030784089,0.077162011,0.075848369,0.089257796,0.094422263,0.07585123,0.057939599,0.036758242,0.0378531,0.022552733,0.011255483,0.001547711,0.010411758
1,66,0.315043214,0.330657201,0.365224974,0.466876843,0.733636056,0.971877696,1.209019298,1.276835232,0.914844784,0.466397937,0.213043452,0.075887226,0.031063418,0.012569013,0.015520698
1,67,0.17547808,0.144952317,0.133491647,0.234359404,0.350242151,0.555865878,0.903748663,1.047173808,0.818351367,0.500969612,0.236643675,0.098509563,0.050241731,0.021782927,0.01427123
1,68,0.113028962,0.094570845,0.103496068,0.165598601,0.241450605,0.279348289,0.340087599,0.35746846,0.270443609,0.194326335,0.124366007,0.086244881,0.086199186,0.03436318,0.058427894
1,69,0.098892954,0.122442062,0.102943335,0.089839419,0.098595964,0.086323803,0.057344002,0.04283954,0.044997976,0.020020604,0.014795039,0.006871919,0.01002242,0.005733934,0.007910232
